mah_id,mahalle_adi,ilce_adi,toplam_nufus,toplam_bina,vs30_mean,rjb_distance_km,pga_scenario_mw72,pga_scenario_mw75,earthquake_min_distance_km,earthquake_count_10km,max_magnitude_nearby_20km,strong_earthquakes_20km,insan_etkisi,bina_etkisi,zemin_etkisi,altyapi_etkisi,barinma_etkisi,risk_score,risk_class_5,AUC_ge_2,AUC_ge_3,AUC_ge_4,AUC_ge_5,Macro_Ordinal_AUC,QWK,Macro_F1,Spearman_rho,Best_thresholds,Threshold_percentiles,ml_predicted_class,ml_confidence,ml_risk_score,ml_proba_class_1,ml_proba_class_2,ml_proba_class_3,ml_proba_class_4,ml_proba_class_5,ml_ensemble_score
40708,Paşa Mahallesi̇,Şişli,18833,1521,414.85730877168,48.70240164164648,0.0042753616224094,0.0042722186055646,4.294297810325906,32.0,4.1,1.0,0.0014179635486922,0.1543368539115805,0.5935503706780053,0.0007282050504054,0.00223469934239,0.356616,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
40239,Paşabahçe Mahallesi̇,Beykoz,3677,741,543.088860016306,39.7910533996135,0.0038951406106904,0.0039562961423448,7.038414087758404,7.0,4.1,1.0,0.0019704675047661,0.1992869476242245,0.2569846193797744,0.0,0.0044945580816494,0.121113,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
191737,Paşamandira Mahallesi̇,Beykoz,1374,559,415.556016710069,30.773782704123224,0.0036198629505005,0.0037242017271658,4.817599784623621,3.0,3.1,0.0,0.0001506635270331,0.1058238435672101,0.591716491574622,0.0,0.0029136180919054,0.141513,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40450,Pazari̇çi̇ Mahallesi̇,Gaziosmanpaşa,11550,1414,517.707380079283,29.77876259210293,0.0042828289475795,0.004278372509536,2.944065349502958,45.0,4.1,1.0,0.0034412332242048,0.2188269621095072,0.3236026769572625,0.0,0.0041415097044236,0.260054,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
40566,Petrol İş Mahallesi̇,Kartal,29166,1272,445.625869750977,31.06173562917459,0.0046946278426799,0.0046149336278766,1.778863444729064,25.0,4.2,4.0,0.0023564383117213,0.2135608908961691,0.5127929927795879,0.0023510741470009,0.003185124836912,0.414872,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
40672,Pinar Mahallesi̇,Sarıyer,10874,1530,438.419299267512,32.779436146198755,0.0038864855992544,0.0039484133418155,2.733776446698239,29.464921465968587,3.9854450261780094,1.130890052356021,0.0008186042398541,0.0791729206871083,0.5317078759382887,0.0,0.0018407721437732,0.23605,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40868,Pinartepe Mahallesi̇,Büyükçekmece,22993,1380,547.126764933268,32.51156871882536,0.004740091468703,0.004651766254361,0.386281680344568,23.0,4.5,1.0,0.0069775173644704,0.5348275133393207,0.2463864437447035,0.0080521400923262,0.0082545998018976,0.371201,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.6
40919,Pi̇ri̇ Mehmet Paşa Mahallesi̇,Silivri,7902,768,374.948255723307,30.939995273541093,0.0041398587827457,0.0041602182433901,1.6151618709139228,23.0,4.3,1.0,0.0053442652459236,0.4021467762758202,0.6982985414086431,0.0043388653867013,0.0075863097782269,0.402751,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
181486,Pi̇ri̇ Rei̇s Mahallesi̇,Esenyurt,16469,186,511.856176698109,32.17363959137803,0.0046168140902045,0.0045517468550233,1.9897742138164247,30.0,3.8,0.0,0.0048267950378973,0.3560439775800573,0.3389601661466955,0.0008327333605128,0.0033782112811587,0.317036,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
191753,Pi̇ri̇nççi̇ Mahallesi̇,Eyüpsultan,3409,920,396.688677665515,33.18465616824689,0.0039030395057646,0.0039629126124082,1.236244737678758,72.0,3.5,0.0,0.0006072504727004,0.156027127687675,0.6412370664947113,0.0,0.0033724519629574,0.294456,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
40303,Pi̇ri̇paşa Mahallesi̇,Beyoğlu,15376,1435,441.838328510054,34.35345347762935,0.0043365314517238,0.0043225742103695,3.659534590820949,33.0,4.1,1.0,0.0086434379880445,0.3688913256082742,0.5227340459053701,0.002229820127843,0.0030375453962828,0.37242,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,0.9796437659033079,0.4040712468193385,0.0,0.9796437659033079,0.02035623409669211,0.0,0.0,0.4040712468193385
40263,Pi̇yalepaşa Mahallesi̇,Beyoğlu,20663,2136,403.864577431782,31.782150129028008,0.0043064525178308,0.0042978285936599,4.399950220780016,32.0,4.1,1.0,0.0029053568688784,0.1790900992532117,0.6224026839060841,0.0023229927890432,0.0009190372271773,0.386059,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,0.900473933649289,0.5800947867298578,0.0,0.09952606635071089,0.900473933649289,0.0,0.0,0.5800947867298578
40673,Poli̇gon Mahallesi̇,Sarıyer,6225,718,439.807079844767,48.21510829172522,0.0039429179936523,0.0039962809386201,3.592887743964404,15.0,4.1,1.0,9.976466802099886e-05,0.0767793621406837,0.5280654072315827,0.0,0.0016160004255432,0.225366,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
191717,Polonezköy Mahallesi̇,Beykoz,388,472,419.636874970936,47.36856266867993,0.003784923421905,0.0038637254732774,2.33265303938871,4.0,3.9,0.0,0.0,0.1477934437877134,0.581005577504105,0.0,0.0071431009763091,0.205664,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40719,Postane Mahallesi̇,Tuzla,21328,3358,302.53537495931,42.99982507743626,0.0063989693359637,0.0059581877609847,0.6416948923966469,78.0,4.9,10.0,0.0061148425670691,0.4909278869777981,0.8883585959073228,0.0090022505626406,0.0090385800092407,1.0,5,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16634,Poyrazköy Mahallesi̇,Beykoz,881,306,491.289161095252,47.7376213868444,0.0036642536133456,0.0037618322006392,5.883391812315813,3.0,3.1,0.0,0.0,0.1205983608510232,0.3929418343956641,0.0,0.0,0.070061,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40674,Ptt Evleri̇ Mahallesi̇,Sarıyer,5213,556,486.030548095703,53.23988809838652,0.0038522451248558,0.0039203237643162,1.261872748788124,22.0,3.5,0.0,0.0027400357460016,0.207178728463159,0.406743968252748,0.0,0.0034459190790217,0.161036,1,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2
40295,Pürtelaş Hasan Efendi̇ Mahallesi̇,Beyoğlu,1787,280,482.94626840982,43.71133303144246,0.0043543459948129,0.0043372158613708,3.568458294541173,19.0,4.1,1.0,0.0038228235269937,0.2996984030550252,0.4148391905254068,0.0,0.016830531024285,0.282678,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
40639,Ramazanoğlu Mahallesi̇,Pendik,2427,1266,377.001403808594,49.31393005316428,0.0045373369700723,0.0044870165011075,0.4537513377728377,45.0,4.2,4.0,0.0062265566907625,0.3641565363109189,0.6929097012897796,0.0282535758431926,0.0093048131260624,0.475504,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
40372,Rami̇ Cuma Mahallesi̇,Eyüpsultan,14715,763,499.166080222285,47.99020404276034,0.0043468377802286,0.0043310461928438,2.109270582953059,44.0,4.1,1.0,0.004895689213589,0.369199966876291,0.3722675059782545,0.0,0.0063549605866879,0.313452,2,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",2,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4
40373,Rami̇ Yeni̇ Mahallesi̇,Eyüpsultan,14824,979,406.287049071386,41.71652721364183,0.0043460309035598,0.0043303830531395,1.6197493878972615,45.0,4.1,1.0,0.0047898683450651,0.3789838739904955,0.6160444906262835,0.0009251406984812,0.0067306283349356,0.4182,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
40507,Rasi̇mpaşa Mahallesi̇,Kadıköy,12086,1609,380.848999023438,53.391678890726304,0.0044699467369595,0.0044319746703234,2.2153929985847265,10.0,4.2,2.0,0.0058921082271544,0.3007252642524923,0.6828110261852021,0.0011347249474007,0.0052403141722731,0.433158,3,0.0051,0.0143,0.0554,0.0,0.0187,0.9311,0.7999,0.9235,0.2511,"20.94240837696335, 51.204188481675395, 80.6282722513089, 91.62303664921467",3,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6
